alarm_id,category,code,description,message,system
PS0148,CNC,0148,ERROR M Automatic corner override deceleration rate is out of the settable range of judgement angle. Modify the parameters Nos.1710 to 1714.,SETTING,FANUC
PS0149,CNC,0149,"ERROR IN G10L3 In registration (G10L3 to G11) of tool life management data, an address other than Q1, Q2, P1, and P2 or an unusable address was specified.",FORMAT,FANUC
PS0150,CNC,0150,LIFE GROUP NUMBER The tool group number exceeded the maximum allowable value. The tool group number (P after specification of G10 L3;) or the group number given by the tool life management T code in a machining program.,ILLEGAL,FANUC
PS0151,CNC,0151,NOT FOUND AT LIFE DATA The tool group spec ified in a machining program is not set in tool life management data.,GROUP,FANUC
PS0152,CNC,0152,MAXIMUM TOOL NUMBER The number of tools registered in one group exceeded the maximum allowable registration tool number.,OVER,FANUC
PS0153,CNC,0153,"NOT FOUND In registration of tool life data, a block in which the T code needs to be specified does not include the T code. Alternatively, in tool exchange method D, M06 is specified solely. Modify the program.",T-CODE,FANUC
PS0155,CNC,0155,"T-CODE COMMAND In a machining program, the T code specified in the same block as M06 does not correspond to the group in current use. Modify the program.",ILLEGAL,FANUC
PS0156,CNC,0156,COMMAND NOT FOUND The P and L commands are not specified in the beginning of a program for setting a tool group. Modify the program.,P/L,FANUC
PS0157,CNC,0157,"MANY TOOL GROUPS In registration of tool life management data, the group setting command block counts of P (group number) and L (tool life) exceeded the maximum group count.",TOO,FANUC
PS0158,CNC,0158,LIFE VALUE OUT OF RANGE The life value that is being set is too large. Change the setting.,TOOL,FANUC
PS0159,CNC,0159,TOOL LIFE DATA Tool life management data is corrupted for some reason. Register the tool data in the tool group or the tool data in the group again by G10L3; or MDI input.,ILLEGAL,FANUC
PS0160,CNC,0160,WAITING M-CODE A waiting M-code is in error. Different waiting M codes are specified for paths 1 and 2.,MISMATCH,FANUC
PS0163,CNC,0163,COMMAND IN G68/G69 T G68 and G69 are not independently commanded in balance cut.,ILLEGAL,FANUC
PS0169,CNC,0169,"TOOL GEOMETRY DATA T Incorrect tool figure data in interference check. Set correct data, or select correct tool figure data. A.ALARM LIST APPENDIX B-64305EN/03",ILLEGAL,FANUC
PS0175,CNC,0175,"G07.1 AXIS An axis which cannot perform cylindrical interpolation was specified. More than one axis was specified in a G07.1 block. An attempt was made to cancel cylindrical interpolation for an axis that was not in the cylindrical interpolation mode. In cylindrical interpolation mode, to specify circular interpolation including a rotation axis (when bit 0 (ROT) of parameter No. 1006 is 1 and parameter No. 1260 is set), the value of rotation axis parameter No. 1022 must not be 0 but 5, 6, or 7 for parallel axis specification.",ILLEGAL,FANUC
PS0176,CNC,0176,G-CODE USE(G07.1 MODE) A G code was specified that cannot be specified in the cylindrical interpolation mode. This alarm also is generated when an 01 group G code was in the G00 modal or code G00 was instructed. Cancel the cylindrical interpolation mode before instructing code G00.,ILLEGAL,FANUC
PS0190,CNC,0190,AXIS SELECTED (G96) An illegal val ue was specified in P in a G96 block or parameter No. 3770.,ILLEGAL,FANUC
PS0197,CNC,0197,COMMANDED IN SPINDLE MODE The program specified a movement along the Cs-axis when the Cs contour control switching signal was off.,C-AXIS,FANUC
PS0199,CNC,0199,WORD UNDEFINED Undefined macro word was used. Modify the custom macro.,MACRO,FANUC
PS0200,CNC,0200,"S CODE COMMAND In the rigid tap, an S value was out of range or was not specified. The parameters Nos. 5241 to 5243 setting is an S value which can be specified for the rigid tap. Correct the parameters or modify the program.",ILLEGAL,FANUC
PS0201,CNC,0201,"NOT FOUND IN RIGID TAP The command F code for a cutting feedrate is a zero. If the value of F command is much smaller than that of the S command, when a rigid tap command is specified, this alarm is generated. This is because cutting is not possible by the lead specified by the program.",FEEDRATE,FANUC
PS0202,CNC,0202,"LSI OVERFLOW In the rigid tap, spindle distribution value is too large. (System error)",POSITION,FANUC
PS0203,CNC,0203,"MISS AT RIGID TAPPING In the rigid tap, position for a rigid M code (M29) or an S command is incorrect. Modify the program.",PROGRAM,FANUC
PS0204,CNC,0204,"AXIS OPERATION In the rigid tap, an axis movement is specified between the rigid M code (M29) block and G84 (or G74) block. Modify the program.",ILLEGAL,FANUC
PS0205,CNC,0205,"MODE DI SIGNAL OFF Although a rigid M code (M29) is specified in rigid tapping, the rigid mode DI signal (DGN G061.0) is not ON during execution of the G84 (or G74) block. Check the PMC ladder diagram to find the reason why the DI signal is not turned on.",RIGID,FANUC
PS0206,CNC,0206,NOT CHANGE PLANE (RIGID TAP) Plane changeover was instructed in the rigid mode. Modify the program.,CAN,FANUC
